metric,score,created_at
mae,3.834296842,2026-07-14 23:41:33.429861
mase,0.8474234503718595,2026-07-14 23:41:33.429861
rmse,3.834296842,2026-07-14 23:41:33.429861
smape,0.31093349167549855,2026-07-14 23:41:33.429861
mae,3.834296842,2026-07-14 23:58:08.058764
mase,0.8474234503718595,2026-07-14 23:58:08.058764
rmse,3.834296842,2026-07-14 23:58:08.058764
smape,0.31093349167549855,2026-07-14 23:58:08.058764
mae,3.834296842,2026-07-15 00:18:26.209725
mase,0.8474234503718595,2026-07-15 00:18:26.209725
rmse,3.834296842,2026-07-15 00:18:26.209725
smape,0.31093349167549855,2026-07-15 00:18:26.209725
mae,3.834296842,2026-08-04 00:20:38.747593
mase,0.8474234503718595,2026-08-04 00:20:38.747593
rmse,3.834296842,2026-08-04 00:20:38.747593
smape,0.31093349167549855,2026-08-04 00:20:38.747593
mae,3.674017573,2026-08-04 00:22:38.820899
mase,0.8126443319787695,2026-08-04 00:22:38.820899
rmse,4.111617682947641,2026-08-04 00:22:38.820899
smape,0.4767212885703271,2026-08-04 00:22:38.820899
mae,3.834296842,2026-08-04 00:38:58.517761
mase,0.8474234503718595,2026-08-04 00:38:58.517761
rmse,3.834296842,2026-08-04 00:38:58.517761
smape,0.31093349167549855,2026-08-04 00:38:58.517761
mae,3.834296842,2026-08-04 00:42:02.264658
mase,0.8474234503718595,2026-08-04 00:42:02.264658
rmse,3.834296842,2026-08-04 00:42:02.264658
smape,0.31093349167549855,2026-08-04 00:42:02.264658
mae,3.834296842,2026-08-04 00:49:01.580340
mase,0.8474234503718595,2026-08-04 00:49:01.580340
rmse,3.834296842,2026-08-04 00:49:01.580340
smape,0.31093349167549855,2026-08-04 00:49:01.580340
mae,3.834296842,2026-08-04 00:50:25.359730
mase,0.8474234503718595,2026-08-04 00:50:25.359730
rmse,3.834296842,2026-08-04 00:50:25.359730
smape,0.31093349167549855,2026-08-04 00:50:25.359730
mae,6.3831321236205865,2026-08-05 00:10:55.306081
mase,1.4097849211823776,2026-08-05 00:10:55.306081
rmse,6.3831321236205865,2026-08-05 00:10:55.306081
smape,0.8208617003506379,2026-08-05 00:10:55.306081
mae,2.115079437941593,2026-08-05 15:36:27.319213
mase,0.4783570531315886,2026-08-05 15:36:27.319213
rmse,2.115079437941593,2026-08-05 15:36:27.319213
smape,0.9401565350156602,2026-08-05 15:36:27.319213
mae,2.115079437941593,2026-08-05 15:43:06.264836
mase,0.4783570531315886,2026-08-05 15:43:06.264836
rmse,2.115079437941593,2026-08-05 15:43:06.264836
smape,0.9401565350156602,2026-08-05 15:43:06.264836
mae,2.115079437941593,2026-08-05 15:52:36.476293
mase,0.4783570531315886,2026-08-05 15:52:36.476293
rmse,2.115079437941593,2026-08-05 15:52:36.476293
smape,0.9401565350156602,2026-08-05 15:52:36.476293
mae,2.115079437941593,2026-08-05 15:54:32.278779
mase,0.4783570531315886,2026-08-05 15:54:32.278779
rmse,2.115079437941593,2026-08-05 15:54:32.278779
smape,0.9401565350156602,2026-08-05 15:54:32.278779
mae,2.115079437941593,2026-08-05 16:12:59.402921
mase,0.4783570531315886,2026-08-05 16:12:59.402921
rmse,2.115079437941593,2026-08-05 16:12:59.402921
smape,0.9401565350156602,2026-08-05 16:12:59.402921
mae,3.5204047030296897,2026-08-05 16:14:21.061200
rmse,4.071600710629906,2026-08-05 16:14:21.061200
mase,0.7773336586480791,2026-08-05 16:14:21.061200
mae,2.71824910377926,2026-08-06 22:05:49.464680
rmse,3.053355974669269,2026-08-06 22:05:49.464680
mase,0.6005129223168596,2026-08-06 22:05:49.464680
mae,3.019368826036541,2026-08-07 00:40:30.580238
rmse,3.2778610155288357,2026-08-07 00:40:30.580238
mase,0.6633504771542823,2026-08-07 00:40:30.580238
mae,2.7713751030613616,2026-08-07 01:39:21.742108
rmse,3.0933461173236534,2026-08-07 01:39:21.742108
mase,0.6091789120683903,2026-08-07 01:39:21.742108
mae,2.2515316598279322,2026-08-07 02:07:54.410121
rmse,2.620220058332691,2026-08-07 02:07:54.410121
mase,0.5165900347094897,2026-08-07 02:07:54.410121
mae,3.520404656,2026-08-07 17:41:15.225774
rmse,4.07160067508589,2026-08-07 17:41:15.225774
mase,0.7773336480518978,2026-08-07 17:41:15.225774
