metric,score,created_at
mae,2.3401193271417715,2026-08-07 02:07:53.543945
rmse,2.684566459322674,2026-08-07 02:07:53.543945
mase,0.5409885354321591,2026-08-07 02:07:53.543945
mae,2.2515316598279322,2026-08-07 02:08:36.975527
rmse,2.620220058332691,2026-08-07 02:08:36.975527
mase,0.5230600921336265,2026-08-07 02:08:36.975527
mae,2.9634629510000003,2026-08-07 21:43:51.553375
rmse,3.3276453765928666,2026-08-07 21:43:51.553375
mase,0.6539569814609348,2026-08-07 21:43:51.553375
mae,2.9634629510000003,2026-08-07 22:48:00.825393
rmse,3.3276453765928666,2026-08-07 22:48:00.825393
mase,0.6539569814609348,2026-08-07 22:48:00.825393
mae,2.9634629510000003,2026-08-07 23:01:05.039528
rmse,3.3276453765928666,2026-08-07 23:01:05.039528
mase,0.6539569814609348,2026-08-07 23:01:05.039528
mae,2.9634629510000003,2026-08-07 23:16:33.923672
rmse,3.3276453765928666,2026-08-07 23:16:33.923672
mase,0.6539569814609348,2026-08-07 23:16:33.923672
mae,2.9634629510000003,2026-08-07 23:20:42.790578
rmse,3.3276453765928666,2026-08-07 23:20:42.790578
mase,0.6539569814609348,2026-08-07 23:20:42.790578
